date,total_posts,Iran,Pakistan,Saudi Arabia,United States,Turkiye,is_spike
2023-05-01,1,1,0,1,0,0,False
2025-09-19,1,0,1,1,0,0,False
2025-11-26,1,0,0,0,0,0,False
2026-07-13,1,1,0,0,1,1,False
2026-07-20,1,1,0,0,1,1,False
2026-07-30,1,0,0,1,0,0,False
2026-08-07,21,12,18,17,15,17,False
2026-08-08,17,8,10,10,12,9,False
2026-08-09,7,6,5,6,6,5,False
2026-08-10,53,44,28,29,48,26,False
2026-08-11,46,30,31,29,24,29,False
2026-08-12,67,58,46,36,9,38,False
2026-08-13,70,45,38,33,21,34,False
2026-08-14,120,60,52,61,15,61,False
2026-08-15,86,25,48,50,13,57,False
2026-08-16,105,22,80,75,16,74,False
2026-08-17,196,57,140,131,30,135,True
2026-08-18,135,49,85,73,24,85,True
2026-08-19,115,35,56,55,10,81,False
2026-08-20,85,20,49,38,5,52,False
2026-08-21,128,29,79,69,10,89,True
2026-08-22,164,41,108,90,19,109,True
2026-08-23,78,56,44,44,24,46,False
2026-08-24,8,6,3,3,7,5,False
2026-08-25,6,4,3,4,5,4,False
2026-08-26,4,3,3,2,4,2,False
2026-08-27,4,3,3,4,3,3,False
2026-08-28,5,3,2,1,5,1,False
2026-08-29,2,2,1,1,2,1,False
2026-08-30,5,4,4,3,4,3,False
2026-08-31,16,12,11,12,7,11,False
2026-09-01,8,7,5,4,2,4,False
2026-09-02,36,34,16,16,5,14,False
2026-09-03,23,16,12,13,6,13,False
2026-09-04,17,15,10,9,5,8,False
2026-09-05,8,6,1,2,3,3,False
2026-09-06,16,15,6,6,2,4,False
2026-09-07,36,30,17,15,7,16,False
2026-09-08,73,67,33,45,9,23,False
2026-09-09,349,84,292,272,10,150,True
2026-09-10,104,45,79,89,11,50,False
